API명,특수문자여부,특수문자개수
"　청구항
",No,0
"_id
",Yes,1
"""-1:정보없음,0~:빈자리수""
",Yes,7
"-1:정보없음0~:빈자리수
",Yes,4
"-5100:중남부사업소
",Yes,2
"-52000:동부사업소
",Yes,2
"-53000:서부사업소
",Yes,2
"-54000:북부사업소
",Yes,2
"-55000:수성사업소
",Yes,2
"-56000:달서사업소
",Yes,2
"-57000:달성사업소
",Yes,2
"-10000:상수도사업본부
",Yes,2
"-20000:시설사업소
",Yes,2
"#NAME?
",Yes,2
"-연구과제일경우년도yyyy만적용)
",Yes,2
"#NAME?
",Yes,2
"시간(년월일)
",Yes,2
"*생성주기는6시간단위로생성이됨.
",Yes,2
"#NAME?
",Yes,2
"-보조구분:R3OI
",Yes,2
"""-일2회((06:00,18:00)회생성되며발표시각을입력""
",Yes,9
"#NAME?
",Yes,2
"""-일2회(06:00,18:00)회생성되며발표시각을입력""
",Yes,8
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"""-통계생성일시(년월일시분초,14자리)""
",Yes,6
"""-1시간단위로조회가능(분,초는0)""
",Yes,6
"""-통계생성일시(년월일시분초,14자리)""
",Yes,6
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"(서울특별시:
",Yes,2
"11000->11
",Yes,2
";으로구분(ex10대;20대)
",Yes,4
";으로구분(ex1번출구;2번출구)
",Yes,4
""";으로구분(ex2,4번출구;7번출구)""
",Yes,7
";으로구분(ex2406;12448.7)
",Yes,5
";으로구분(ex376;88)
",Yes,4
";으로구분(exT.206-5882;T.206-5883)
",Yes,8
";으로구분(ex부산교통공사;위탁)
",Yes,4
";으로구분(ex사하구청;동래구청)
",Yes,4
":전체
",Yes,1
"""g01:국가직,""
",Yes,4
"""g02:지방직,""
",Yes,4
"g03:공공기관
",Yes,1
"?c
",Yes,1
".연구보고서
",Yes,1
""":정책연구,조사연구,정책자료,기타연구""
",Yes,6
".정기간행물
",Yes,1
""":과학기술정책,""
",Yes,4
"""STEPIInsight,""
",Yes,3
"""동향과이슈,""
",Yes,3
"""FutureHorizon,""
",Yes,3
"""STIPolicyReview,""
",Yes,3
"""S&TFocusonChina,""
",Yes,4
"WorkingPaper
",No,0
"""','로구분된목록""
",Yes,5
"';'로구분된목록
",Yes,3
"'||'로구분된목록
",Yes,4
"‘15년12월1일발표
",Yes,1
"‘경성암반무척추동물범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘경성암반무척추동물범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
"‘경성암반해조류범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘경성암반해조류범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
