파일명,필드수
06~'13친환경농업직불제(인증종류별),8
08~'10+토양개량제지원+현황,10
11~'13+토양개량제지원+현황,10
14~'16+토양개량제지원+현황,10
14년+청년창업사관학교+기업+현황,7
14년+해외조달낙찰정보,9
14년+해외조달입찰정보,9
15년+글로벌리더십연수원+연수과정+목록,5
15년+대구경북연수원+연수과정+목록,5
15년+부산경남연수원+연수과정+목록,22
15년+호남연수원+연수과정+목록,5
(0)160104(공지)_2016년청년취업인턴제_운영기관_선정현황,7
(141231)_2014_데이터_개방(전자상거래),8
(15년+09월)전통식품+명인+현황,6
(2009년)국적별+상륙허가자,8
(2009년)국적별+출입항+항공기및승무원,8
(2009년)사증발급인정서+발급+현황,41
(2009년)외국인입국자(국적.연령별_작업중),16
(2009년)항구별+출입항+선박및선원,8
(2010년)공항별+출입항+항공기및승무원,8
(2010년)국적별+상륙허가자,8
(2010년)국적별+출입항+선박및선원,8
(2010년)국적별+출입항+항공기및승무원,8
(2010년)내외국인출국자(국적.항구별),32
(2010년)사증발급인정서+발급+현황,29
(2010년)사증발급허가승인+현황,13
(2011년)공항별+출입항+항공기및승무원,8
(2011년)국적별+출입항+선박및선원,8
(2011년)국적별+출입항+항공기및승무원,8
(2011년)사증발급인정서+발급+현황,31
(2011년)사증발급허가승인+현황,17
(2011년)외국인입국자(국적.연령별),16
(2011년)외국인입국자(국적.월별),15
(2011년)외국인입국자(국적.자격별),40
(2011년)외국인출국자(국적.체류기간별),20
(2011년)항구별+상륙허가자,7
(2012년)공항별_출입항_항공기및승무원,8
(2012년)국적별_출입항_선박및선원,8
(2012년)국적별_출입항_항공기및승무원,8
"(2012년)내외국인입국자(국적,항구별)",32
(2012년)사증발급허가승인_현황,14
"(2012년)외국인입국자(국적,연령별)",20
"(2012년)외국인입국자(국적,월별)",15
"(2012년)외국인출국자(국적,체류기간별)",20
(2012년)항구별_상륙허가자,7
(2012년_42)+연도별+열차종별+운행횟수,4
(201312)+MBB+발행실적,5
(201312)+MBS+발행실적,6
(201312)+SLBS+발행실적,6
(201312)+보금자리론+LTV+수준별+대출금액+및+잔액+현황,13
(201312)+보금자리론+판매실적,5
(201312)+주택보증+잔액현황,5
(201312)+주택연금+지급유형별+공급현황,4
(201312)+지역별+주택구입부담지수,19
(2013년)국적및체류자격별+체류외국인현황,40
(2013년)국적별+출입항+항공기및승무원,8
(2013년)사증발급인정서+발급+현황,30
"(2013년)외국인입국자(국적,연령별)",20
"(2013년)외국인입국자(국적,자격별)",40
"(2013년)외국인출국자(국적,체류기간별)",20
(2013년)위반자처리현황,22
(201408)+MBB+발행실적,5
(201408)+MBS+발행실적,6
(201408)+SLBS+발행실적,6
(201408)+보금자리론+LTV수준별+대출금액+및+잔액+현황,11
(201408)+보금자리론+판매실적,5
(201408)+주택보증+잔액현황,5
(201408)+주택연금+지급유형별+공급현황,4
(201408)+지역별+주택구입부담지수,19
(201410)+MBB+기초자산+상환+및+연체현황,3
(201410)+MBB+발행금리+현황,11
(201410)+MBB+발행실적,6
(201410)+MBB+연도별+만기별+발행현황,12
(201410)+MBS+기초자산+상환+및+연체현황,3
(201410)+MBS+발행실적,6
(201410)+SLBS+기초자산+상환+및+연체현황,4
(201410)+SLBS+발행금리+현황,11
(201410)+SLBS+발행실적,6
(201410)+SLBS+연도별+만기별+발행현황,11
(201410)+개인보증+국민주택기금계정+금액별+공급현황,12
(201410)+개인보증+국민주택기금계정+금액별+잔액현황,12
(201410)+개인보증+국민주택기금계정+보증구분별+공급현황,6
(201410)+개인보증+국민주택기금계정+보증구분별+잔액현황,6
(201410)+개인보증+국민주택기금계정+주택소재지별+공급현황,19
(201410)+개인보증+국민주택기금계정+주택소재지별+잔액현황,19
(201410)+개인보증+은행계정+금액별+공급현황,12
(201410)+개인보증+은행계정+금액별+잔액현황,12
(201410)+개인보증+은행계정+보증구분별+공급현황,3
(201410)+개인보증+은행계정+보증구분별+잔액현황,3
(201410)+개인보증+은행계정+주택소재지별+공급현황,19
(201410)+개인보증+은행계정+주택소재지별+잔액현황,19
(201410)+보금자리론+DTI+수준별+대출금액+및+잔액+현황,9
(201410)+보금자리론+LTV+수준별+대출금액+및+잔액+현황,11
(201410)+보금자리론+금융기관별+판매실적,24
(201410)+보금자리론+대출기간별+대출금액+및+잔액+현황,6
(201410)+보금자리론+소득수준별+대출금액+및+잔액+현황,11
(201410)+보금자리론+연령구간별+대출금액+및+잔액+현황,11
(201410)+보금자리론+자금용도별+대출금액+및+잔액+현황,5
(201410)+보금자리론+주택유형별+대출금액+및+잔액+현황,6
(201410)+보금자리론+지역별+판매실적,21
(201410)+보금자리론+판매실적,5
(201410)+사업자보증+국민주택기금계정+금액별+공급현황,8
(201410)+사업자보증+국민주택기금계정+금액별+잔액현황,8
(201410)+사업자보증+국민주택기금계정+보증구분별+공급현황,3
(201410)+사업자보증+국민주택기금계정+보증구분별+잔액현황,3
(201410)+사업자보증+국민주택기금계정+주택소재지별+공급현황,19
(201410)+사업자보증+국민주택기금계정+주택소재지별+잔액현황,19
(201410)+사업자보증+은행계정+금액별+공급현황,8
(201410)+사업자보증+은행계정+금액별+잔액현황,8
(201410)+사업자보증+은행계정+보증구분별+공급현황,7
(201410)+사업자보증+은행계정+보증구분별+잔액현황,7
(201410)+사업자보증+은행계정+주택소재지별+공급현황,19
(201410)+사업자보증+은행계정+주택소재지별+잔액현황,19
(201410)+신탁자산+MBS+상세현황,5
(201410)+신탁자산+SLBS+상세현황,4
(201410)+신탁자산+대지급현황,22
(201410)+신탁자산+만기별상환내역,12
(201410)+신탁자산+신탁pool별현황,9
(201410)+신탁자산+여유자금+운용현황,8
(201410)+신탁자산+원리금상환내역,9
(201410)+신탁자산+지급보증잔액,5
(201410)+신탁자산+콜상환내역,7
(201410)+적격대출+판매실적,4
(201410)+주택규모별+주택구입부담지수,19
(201410)+주택보증+금융기관별+공급현황,11
(201410)+주택보증+금융기관별+잔액현황,11
(201410)+주택보증+보증종류별+공급현황,12
(201410)+주택보증+보증종류별+잔액현황,12
(201410)+주택보증+잔액현황,8
(201410)+주택보증+지역별+공급현황,21
(201410)+주택보증+출연기준+주택자금대출+규모,7
(201410)+주택연금+금융기관별+공급현황,15
(201410)+주택연금+금융기관별+잔액현황,15
(201410)+주택연금+보증잔액+현황,4
(201410)+주택연금+지급유형별+공급현황,6
(201410)+주택연금+지급유형별+잔액현황,6
(201410)+주택연금+지역별+공급현황,20
(201410)+주택연금+지역별+잔액현황,20
(201410)+지역별+PIR+및+LIR,20
(201410)+지역별+주택구입물량지수,19
(201410)+지역별+주택구입부담지수,19
(201411)+MBS+발행금리현황,11
(20141106)+MBS+연도별+만기별+발행현황,11
(201412)한국주택금융공사+보유도서목록(최신화),7
(2015)+보금자리론+내집마련+디딤돌+대출+만족도,11
(2015)일반주택담보대출+상품+만족도,11
(2015)일반주택담보대출금액,11
(2015)주택금융상품+이용률,4
(2015년)공항별+출입항+항공기+및+승무원,7
(2015년)국적+및+체류자격별+유학생+통계+자료,14
(2015년)국적별+출입항+항공기+및+승무원,7
(2015년)단기체류외국인의+국적+및+연령별_현황,16
(2015년)연령별+지역별+등록외국인현황,21
"(2015년)외국인+출국자(국적,체류기간별)",20
(2015년)위반자처리현황,21
(2015년)체류자격별+지역별+등록외국인현황,34
(2015년1월-2016년7월)등록특허,7
(2016.09.30.기준)+충청남도+소방용수시설+현황,18
(2016.1.26자)74차+OECD국가등급+결과,4
(2016년+3분기)+국유재산+개보수공사+명세,7
(37)2013년+한국철도공사+거리별+화물수송실적,5
(공공데이터)15년여성새로일하기센터현황,9
(공공데이터)LED산업현황,9
(기술평가)+업종별+현황(2012년~2014년),14
(기술평가)+업종별+현황(2013년),14
(기술평가)+지역별+현황(2013년),11
(기술평가)+지역별현황(2015년),10
(보증신청)+업종별+현황(2013년),27
(보증신청)+업종별+현황(2013년~2014년),14
(보증신청)+업종별+현황,25
(보증신청)+자금용도별+현황(2013년),27
(보증신청)+자금용도별+현황(2013년~2014년),14
(보증신청)+자금용도별+현황(2015년),25
(보증신청)+지역별+현황(2013년),27
(보증신청)+지역별+현황(2015년),25
(부정무역사범+단속실적_1405월+기준),5
(산업안전실)+-+안전위탁기관+명단+-+csv양식,8
(수원시시설관리공단)골프 프로그램,6
(수원시시설관리공단)문화강좌 프로그램,6
(수원시시설관리공단)스포츠 프로그램,6
"(영구,국민,순환)임대아파트+임대보증금,+임대료,+차기+재계약+일자(2015.12.31+기준)",3
(인천공항)여객기+하계+표준운항+도착+스케줄+(국문),7
(인천공항)여객기+하계+표준운항+도착+스케줄+(영문),7
(인천공항)여객기+하계+표준운항+도착+스케줄+(일문),7
(인천공항)여객기+하계+표준운항+출발+스케줄+(국문),7
(인천공항)화물기+하계+표준운항+도착+스케줄+(국문),7
(인천공항)화물기+하계+표준운항+도착+스케줄+(영문),7
(인천공항)화물기+하계+표준운항+도착+스케줄+(일문),7
(인천공항)화물기+하계+표준운항+출발+스케줄+(영문),7
(인천공항)화물기+하계+표준운항+출발+스케줄+(일문),7
(인천공항)화물기+하계+표준운항+출발+스케줄+(중문),7
(전남총괄)전통시장+데이터셋_표준양식,18
(정보공개)_주요_교역국_민원상담센터('14.6.30+현재),10
(정보공개)_주요_교역국_민원상담센터('15.12.15),10
(정보공개)_주요_교역국_민원상담센터('15.6.15+현재),10
(주택도시보증공사)공공데이터+개방항목_(2012-2015)지역별+정비사업대출보증+발급현황,4
"(주택도시보증공사)공공데이터+개방항목_월별+집합건물(아파트,상가)+사업장+공정율+현황",12
(중소기업진흥공단)+업종별+해외시장진출+유망상품+현황,5
(중소기업진흥공단+중소기업+계약학과+참여기업현황(2016년)),5
(질병군) 외과 전문의 가산대상 항목 및 금액_2017.1.1.기준,8
(추가)강도+및+절도+수법,3
(추가)발생시간.요일,11
(추가)범죄의공범수와+범행도구,10
(추가)범죄자+공범관계,5
(추가)범죄자+교육정도,11
(추가)범죄자+국적,4
(추가)범죄자+마약류+등+상용여부,7
(추가)범죄자+범행동기,13
"(추가)범죄자+생활정도,+혼인관계+및+부모관계",7
(추가)범죄자+자백여부,4
(추가)범죄자+전과여부+및+재범여부,5
(추가)범죄자+정신상태,4
(추가)범죄자+직업,9
