파일명,필드수
전국초중등학교위치표준데이터,18
전국초등학교통학구역표준데이터,13
전국고등학교학교군표준데이터,11
전국고등학교비평준화지역표준데이터,11
전국교육행정구역표준데이터,11
전국학교학구도연계정보표준데이터,9
전국민방위대피시설표준데이터,13
전국중학교학교군표준데이터,13
전국야영(캠핑)장표준데이터,20
전국치매센터표준데이터,21
전국가로수길정보표준데이터,16
전국건강증진센터표준데이터,22
전국박물관미술관정보표준데이터,24
전국농기계임대정보표준데이터,18
전국마을기업표준데이터,20
전국자전거보관소표준데이터,15
전국지정약수터표준데이터,13
전국길관광정보표준데이터,14
전국지역특화거리표준데이터,12
전국보호수표준데이터,23
전국세차장표준데이터,18
전국금연구역표준데이터,15
전국무더위쉼터표준데이터,20
전국재해위험지구표준데이터,20
전국관광안내소표준데이터,24
전국휴양림표준데이터,15
전국문화축제표준데이터,19
전국민박/펜션업소표준데이터,16
전국전기차충전소표준데이터,19
전국공연행사표준데이터,27
전국무료와이파이표준데이터,15
전국무료급식소표준데이터,16
전국농어촌체험마을표준데이터,17
전국평생학습강좌표준데이터,28
전국상수도수질검사표준데이터,69
전국공공시설개방표준데이터,27
전국CCTV표준데이터,13
전국도서관표준데이터,28
전국어린이집표준데이터,19
전국공중화장실표준데이터,22
전국사회적기업표준데이터,14
전국무인민원발급표준데이터,16
전국주차장표준데이터,42
전국전통시장표준데이터,17
전국어린이보호구역표준데이터,12
전국도시공원표준데이터,19
