필드명	행정표준용어	매칭결과
항목명(국문)	1	#N/A
조회 시작일(년월일)	10월	#N/A
조회 종료일(년월일)	119안전신고센터	#N/A
부류(대품목)명	11월	#N/A
품목(중품목)명	12월	#N/A
품종(소품목)명	13월	#N/A
최고가	14월	#N/A
품목	1월	#N/A
최저가	1종시설물	#N/A
품종	1차냉각재	#N/A
품종코드	1회용품	#N/A
규격코드	2	#N/A
규격	20피트컨테이너단위	#N/A
결과코드	21세기프론티어연구개발사업	#N/A
결과메시지	24시간전적하목록제출규정	#N/A
한 페이지 결과 수	2월	#N/A
페이지 번호	2종시설물	#N/A
전체 결과 수	2차	#N/A
평균가	2차냉각재	#N/A
기준일	2차전지	#N/A
5일이동평균	2차통지처	#N/A
등급코드	3	#N/A
등급	3월	#N/A
전년동일평균가	4	#N/A
부류	40피트컨테이너단위	#N/A
조회 시작일(년월일)	4대강	#N/A
조회 종료일(년월일)	4대보험	#N/A
부류(대품목)명	4대사회보험	#N/A
품목(중품목)명	4월	#N/A
품종(소품목)명	5	#N/A
결과코드	5월	#N/A
결과메시지	6	#N/A
한 페이지 결과 수	6시그마	#N/A
페이지 번호	6월	#N/A
전체 결과 수	6자회담	#N/A
평균가	7	#N/A
날짜	7월	#N/A
5일이동평균	8	#N/A
등급코드	8월	#N/A
등급	9	#N/A
전년동일평균가	9월	#N/A
부류	A4	#N/A
최고가	A4지	#N/A
품목	AAIC	#N/A
최저가	ABR	#N/A
품종	ABS	#N/A
품종코드	AC	#N/A
규격코드	ADSL	#N/A
규격	APEC	#N/A
조회 시작일(년월일)	API	#N/A
조회 종료일(년월일)	ARS	#N/A
부류(대품목)명	AS	#N/A
품목(중품목)명	ASEAN	#N/A
품종(소품목)명	ASP	#N/A
도매시장코드	ATA까르네	#N/A
도매시장명	ATA까르네발급단체	#N/A
품목	ATA까르네발급업체	#N/A
가격	ATA까르네보증단체	#N/A
품종	ATC	#N/A
규격코드	B2B	#N/A
규격	BATCH구동자	#N/A
결과코드	BBS	#N/A
결과메시지	BIT	#N/A
한 페이지 결과 수	BIT	#N/A
페이지 번호	BK21	#N/A
전체 결과 수	BL	#N/A
품종코드	BMS	#N/A
날짜	BOM	#N/A
등급코드	BSE관련수입금지품목	#N/A
등급	C4I	#N/A
유통단계	CCTV	#N/A
유통단계코드	CD	#N/A
부류	CIS	#N/A
조회 시작일(년월일)	CO2	#N/A
조회 종료일(년월일)	COB업체	#N/A
"부류 코드
(부류표준품목코드조회 참고)"	CPU	#N/A
"품목 코드
(품목표준코드조회 참고)"	CS	#N/A
"품종 코드
(품종표준코드조회 참고)"	CSR	#N/A
"도매시장코드
(표준도매시장코드조회 참고)"	DBMS	#N/A
결과코드	DDA	#N/A
결과메시지	DMB	#N/A
한 페이지 결과 수	DNA	#N/A
페이지 번호	DOI	#N/A
전체 결과 수	DW	#N/A
조회날짜	eSeal	#N/A
등급코드	EAI	#N/A
등급	EDA	#N/A
유통단계	EITC	#N/A
유통단계코드	EPID	#N/A
부류	ERA시스템	#N/A
도매시장명의 지역	ETT	#N/A
품목코드	FAQ	#N/A
품목	FCL	#N/A
도매시장코드	FCL컨테이너화물	#N/A
가격	FOB	#N/A
품종코드	FTA	#N/A
품종	FTP	#N/A
규격코드	G2B	#N/A
규격	G4B	#N/A
조회 시작일(년월일)	G4C	#N/A
조회 종료일(년월일)	GDP	#N/A
"부류 코드
(부류표준품목코드조회 참고)"	GIS	#N/A
"품목 코드
(품목표준코드조회 참고)"	GMO	#N/A
"품종 코드
(품종표준코드조회 참고)"	GPS	#N/A
"1=농산물산지
3=축산물산지
4=수산물산지
5=도매공판
6=중도매
7=소비자"	HELPDESK	#N/A
유통단계코드	HPA	#N/A
부류명	HTML	#N/A
품목명	HW	#N/A
가격	HW자원	#N/A
품종코드	IBRD	#N/A
품종명	ID	#N/A
규격코드	IDA	#N/A
규격	IEA	#N/A
결과코드	ILC	#N/A
결과메시지	IMO	#N/A
한 페이지 결과 수	IP	#N/A
페이지 번호	IPV6	#N/A
전체 결과 수	ISBN	#N/A
기준일	ISO	#N/A
등급코드	ISSN	#N/A
등급	IT	#N/A
유통단계	ITA	#N/A
조회 시작일(년월일)	ITA도구	#N/A
조회 종료일(년월일)	ITA비전	#N/A
55=임산물   57=톱밥	ITA원칙	#N/A
1=생산지    2=소비지	IT산업	#N/A
결과코드	JPEG	#N/A
결과메시지	KIMS분류	#N/A
한 페이지 결과 수	KIS	#N/A
페이지 번호	KMS	#N/A
전체 결과 수	KOTRA	#N/A
지역코드	LAN	#N/A
지역	LCL컨테이너화물	#N/A
기준일	LOG	#N/A
등급코드	LSD	#N/A
등급	MAC주소	#N/A
조사코드	MBS	#N/A
가격	MC	#N/A
임산물유통센터자체코드	NON	#N/A
품목명	OCR	#N/A
조회 시작일(년월일)	OECD	#N/A
조회 종료일(년월일)	OECF	#N/A
55=임산물    57=톱밥	OSPF	#N/A
1=생산지    2=소비지	pdf	#N/A
지역명	PART자원	#N/A
결과코드	PC	#N/A
결과메시지	PDA	#N/A
한 페이지 결과 수	PPM	#N/A
페이지 번호	RFID	#N/A
전체 결과 수	RGB	#N/A
지역	RSS	#N/A
기준일	SNS	#N/A
등급	SOC	#N/A
가격	SQL	#N/A
임산물유통센터자체코드	SR	#N/A
품목명	SSO	#N/A
(NULL)	SW	#N/A
출발지의 운행지역 ID	SWOT분석	#N/A
도착지의 운행지역 ID	SW자원	#N/A
(NULL)	TBS	#N/A
운행노선목록	TCP	#N/A
노선아이디	TCPIP	#N/A
노선번호	TCTOE	#N/A
노선유형 코드	TNT	#N/A
노선유형 명	TOE	#N/A
노선의 운행지역	TOPIS	#N/A
노선의 관할지역 (서울,경기,인천)	TV	#N/A
(NULL)	UCC	#N/A
(NULL)	UCI	#N/A
(NULL)	UCR	#N/A
(NULL)	UN	#N/A
(NULL)	UNCTAD	#N/A
(NULL)	UNDP	#N/A
(NULL)	UNESCO	#N/A
(NULL)	URL	#N/A
(NULL)	USA	#N/A
(NULL)	V표시용기	#N/A
(NULL)	WAN	#N/A
(NULL)	WATT	#N/A
한 페이지 결과 수	WBS	#N/A
페이지 번호	WHO	#N/A
시도/시군구 구분 (A:시도, B:시군구)	WTO	#N/A
시도	WWW	#N/A
시군구	W표시용기	#N/A
결과코드	XML	#N/A
결과메시지	X축	#N/A
한페이지 결과 수	Y축	#N/A
페이지 번호	가	#N/A
전체 결과 수	가감	#N/A
시도코드	가개통	#N/A
시도명	가격	#N/A
시군구코드	가격변동	#N/A
시군구명	가격시점	#N/A
한 페이지 결과 수	가격표시제	#N/A
페이지 번호	가계	#N/A
기관구분코드	가계수표	#N/A
기관명	가공	#N/A
결과코드	가공무역	#N/A
결과메시지	가공물	#N/A
한페이지 결과 수	가공식품	#N/A
페이지 번호	가공업	#N/A
전체 결과 수	가공제품	#N/A
기관코드	가공품	#N/A
기관명	가교	#N/A
한 페이지 결과 수	가구	#N/A
페이지 번호	가구	#N/A
결과코드	가구주	#N/A
결과메시지	가금	#N/A
한페이지 결과 수	가납	#N/A
페이지 번호	가능	#N/A
전체 결과 수	가능성	#N/A
사업유형대분류	가동	#N/A
시도 구분코드	가동시간	#N/A
"마을코드

33GR2023 : 강릉 대기리마을 33GR0001 : 강릉 모래내한과마을 33GR1015 : 강릉 복사꽃마을
33GR3035 : 강릉 학마을 33GR3037 : 강릉 한울타리마을 33GR3036 : 강릉 해살이마을
33GS2036 : 고성 동트는진등마을 33GS1020 : 고성 진부령흘리마을 33GS0005 : 고성 화진포마을
33DH0038 : 동해 심곡약천마을 33DH0037 : 동해 청정신흥마을 33SC0013 : 삼척 가시오가피마을"	가두판매	#N/A
마을명	가득율	#N/A
마을이속한시도명	가등기	#N/A
"마을이속한시도코드
6420000  : 강원도
6410000  : 경기도
6290000, 6460000 : 광주광역시,전라남도
6470000, 6270000 : 대구광역시,경상북도
6480000,6260000,6310000 :
부산광역시,울산광역시,경상
남도
6450000  : 전라북도
6490000  : 제주도
6440000  : 충청남도
6430000  : 충청북도"	가로	#N/A
마을이속한구군명	가로수	#N/A
"마을이속한구군코드
4160000 : 가평군
4200000 : 강릉시
3360000 : 강서구
4920000 : 강진군
5370000 : 거제시
5470000 : 거창군
5130000 : 경산시
5050000 : 경주시
5550000 : 계룡시
5200000 : 고령군
4340000 : 고성군
5420000 : 고성군
4780000 : 고창군
4880000 : 고흥군
4860000 : 곡성군
4500000 : 공주시
3630000 : 광산구
4840000"	가료	#N/A
마을 구분코드	가루	#N/A
상품코드	가망	#N/A
상품명	가망성	#N/A
상품등록일자	가맹	#N/A
마을코드	가맹계약서	#N/A
마을명	가맹금	#N/A
상품 카테고리 코드	가맹본부	#N/A
상품 코드	가맹사업	#N/A
상품명	가맹점	#N/A
상품코드	가맹점사업자	#N/A
상품카테고리코드	가맹점운영권	#N/A
상품명	가맹중개인	#N/A
생산지명	가맹지역본부	#N/A
상품의규격	가맹희망자	#N/A
상품가격	가명	#N/A
상품생산 마을명	가뭄	#N/A
이벤트금액(할인된금액)이 있으면 상품금액 대신 이금액이 표시됨	가반식	#N/A
상품분류코드	가발	#N/A
판매가능여부	가방	#N/A
상품 분류 카테고리명	가변	#N/A
상품생산마을명	가변차로	#N/A
상품 분류 대 카테고리 명	가보존	#N/A
상품 판매자명(배열값)	가부	#N/A
이벤트금액(할인된금액)이 있으면 상품금액 대신 이금액이 표시됨	가분급부	#N/A
상품분류코드	가사	#N/A
상품명	가사	#N/A
생산자코드	가사노동	#N/A
상품생산지명	가사소송	#N/A
배송 금액	가산	#N/A
상품규격	가산금	#N/A
"상품에 대한 
상세설명"	가산금리	#N/A
상품의유통기한	가산금액	#N/A
배송소요일	가산세	#N/A
상품거래제한조건	가산세금	#N/A
상품가격	가산수수료	#N/A
반품가능여부(Y:가능)	가상	#N/A
상품 원산지	가석방	#N/A
상품 생산단체명	가설	#N/A
상품 생산마을코드	가설인명	#N/A
상품	가설자	#N/A
상품코드	가설재	#N/A
상품코드	가소성	#N/A
이미지 일련번호	가속	#N/A
이미지 경로	가속도	#N/A
이미지 용량	가수	#N/A
"상품파일유형
(I:이미지,M:동영상)"	가스	#N/A
"카테고리코드
010001 : 브랜드쌀
010004 : 친환경쌀
010006 : 현미
010007 : 보리/밀
010008 : 콩류/팥
010009 : 옥수수
010012 : 참깨/들깨
010013 : 블랙푸드
010017 : 찹쌀
010018 : 찹쌀현미
010019 : 친환경현미
010099 : 잡곡/혼합곡
020001 : 포도
020002 : 복숭아
020003 :   사과
020004 : 단감/
020005 : 감귤
020006 : 메론/모과
02"	가스공급시설	#N/A
카테고리명	가스도매사업	#N/A
"대분류카테고리코드
010000: 농산물
020000: 수산물/축산물
030000: 농산가공식품
040000: 건강식품
050000: 화훼/특화상품"	가스사용시설	#N/A
대분류카테고리명	가스상물질류	#N/A
"중분류카테고리코드
010000 : 쌀/잡곡
020000 : 과일/견과
030000 : 채소/산나물
040000 : 건어물/해조류
050000 : 생선/조개
060000 : 축산물/육가공
070000 : 김치/젓갈
080000 : 양념/장/식용유
090000 : 차/음료
100000 : 한과/간식
110000 : 인삼/건강식품
120000 : 화훼/묘목
130000 : 지역특화상품"	가스설비	#N/A
중분류카테고리명	가스용품제조사업자	#N/A
"소분류카테고리코드
010001 : 브랜드쌀
010004 : 친환경쌀
010006 : 현미
010007 : 보리/밀
010008 : 콩류/팥
010009 : 옥수수
010012 : 참깨/들깨
010013 : 블랙푸드
010017 : 찹쌀
010018 : 찹쌀현미
010019 : 친환경현미
010099 : 잡곡/혼합곡
020001 : 포도
020002 : 복숭아
020003 :   사과
020004 : 단감/
020005 : 감귤
020006 : 메론/모과"	가스전	#N/A
소분류카테고리명	가스플랜트	#N/A
