필드명	행정표준용어	매칭결과
사업년도	1	#N/A
인증종류	10월	#N/A
신청농가수	119안전신고센터	#N/A
신청면적	11월	#N/A
신청금액	12월	#N/A
지급농가수	13월	#N/A
지급면적	14월	#N/A
지급금액	1월	#N/A
사업년도	1종시설물	#N/A
선정년도	1차냉각재	#N/A
시도	1회용품	7254
시군	2	7243
읍면동	20피트컨테이너단위	9030
비종	21세기프론티어연구개발사업	#N/A
신청면적(㎡)	24시간전적하목록제출규정	#N/A
양(kg)	2월	#N/A
신청(포)	2종시설물	#N/A
선정(포)	2차	#N/A
사업년도	2차냉각재	#N/A
선정년도	2차전지	#N/A
시도	2차통지처	7254
시군	3	7243
읍면동	3월	9030
비종	4	#N/A
신청면적(㎡)	40피트컨테이너단위	#N/A
양(kg)	4대강	#N/A
신청(포)	4대보험	#N/A
선정(포)	4대사회보험	#N/A
사업년도	4월	#N/A
선정년도	5	#N/A
시도	5월	7254
시군	6	7243
읍면동	6시그마	9030
비종	6월	#N/A
신청면적(㎡)	6자회담	#N/A
양(kg)	7	#N/A
신청(포)	7월	#N/A
선정(포)	8	#N/A
NO	8월	#N/A
창업자명	9	#N/A
기업명	9월	#N/A
창업 내용	A4	#N/A
지역	A4지	11358
기술분야	AAIC	#N/A
유형	ABR	8969
데이터ID	ABS	#N/A
낙찰번호	AC	#N/A
낙찰 공고명	ADSL	#N/A
공고일	APEC	1335
낙찰일	API	#N/A
UNSPSC분류	ARS	#N/A
국가	AS	2151
지역	ASEAN	11358
원문 URL	ASP	#N/A
데이터ID	ATA까르네	#N/A
입찰번호	ATA까르네발급단체	#N/A
입찰공고명	ATA까르네발급업체	#N/A
마감일	ATA까르네보증단체	#N/A
공고일	ATC	1335
기관명	B2B	#N/A
국가	BATCH구동자	2151
UNSPSC분류	BBS	#N/A
공고원문URL	BIT	#N/A
연번	BIT	8029
비고	BK21	5528
과정명	BL	#N/A
2015년 운영예정	BMS	#N/A
세   부   연   수   일   정	BOM	#N/A
연번	BSE관련수입금지품목	8029
비고	C4I	5528
과정명	CCTV	#N/A
2015년 운영예정	CD	#N/A
세   부   연   수   일   정	CIS	#N/A
연번	CO2	8029
비고	COB업체	5528
대분류	CPU	3393
중분류	CS	11146
소분류	CSR	6613
과정명	DBMS	#N/A
기간	DDA	2553
회수	DMB	13951
정원	DNA	10605
총인원	DOI	#N/A
1월	DW	8
2월	eSeal	16
3월	EAI	23
4월	EDA	29
5월	EITC	31
6월	EPID	34
7월	ERA시스템	37
8월	ETT	39
9월	FAQ	41
10월	FCL	2
11월	FCL컨테이너화물	4
12월	FOB	5
연번	FTA	8029
비고	FTP	5528
과정명	G2B	#N/A
2015년 운영예정	G4B	#N/A
세   부   연   수   일   정	G4C	#N/A
연번	GDP	8029
관할고용센터	GIS	#N/A
운영기관명	GMO	#N/A
소 재 지(도로명 주소)	GPS	#N/A
대표전화	HELPDESK	#N/A
Fax 번호	HPA	#N/A
비고	HTML	5528
건수	HW	726
합계	HW자원	13350
금액	IBRD	2498
국가	ID	2151
목록통관	IDA	#N/A
EDI 수입	IEA	#N/A
총합	ILC	12007
구분	IMO	2099
지정번호	IP	#N/A
성 명	IPV6	#N/A
보유기능	ISBN	#N/A
지정일	ISO	11405
지역	ISSN	11358
비 고	IT	#N/A
국적	ITA	2267
국적	ITA도구	2267
합계	ITA비전	13350
승무원상륙	ITA원칙	#N/A
긴급상륙	IT산업	#N/A
재난상륙	JPEG	#N/A
난민임시상륙	KIMS분류	#N/A
상륙허가자출국	KIS	#N/A
국적	KMS	2267
국적	KOTRA	2267
항공기수	LAN	#N/A
승무원수	LCL컨테이너화물	#N/A
입항항공기수	LOG	#N/A
입항승무원수	LSD	#N/A
출항항공기수	MAC주소	#N/A
출항승무원수	MBS	#N/A
국적Nationality	MC	#N/A
성별	NON	6421
합계	OCR	13350
단기상용	OECD	#N/A
단기종합	OECF	#N/A
단기취업	OSPF	#N/A
문화예술	pdf	4305
유학	PART자원	8953
해외투자	PC	#N/A
중기협	PDA	#N/A
수산협	PPM	#N/A
건설협	RFID	#N/A
농협	RGB	#N/A
일반연수	RSS	#N/A
취재	SNS	12241
종교	SOC	10871
상사주재	SQL	#N/A
기업투자	SR	#N/A
무역경영	SSO	#N/A
선원취업	SW	#N/A
교수	SWOT분석	1983
회화지도	SW자원	#N/A
연구	TBS	7991
기술지도	TCP	#N/A
전문직업	TCPIP	#N/A
예술흥행	TCTOE	#N/A
특정직업	TNT	#N/A
비전문취업	TOE	#N/A
방문동거	TOPIS	#N/A
거주	TV	670
국배우자	UCC	#N/A
난민	UCI	2838
영배우자	UCR	#N/A
동반	UN	3683
재외동포	UNCTAD	9993
기타	UNDP	2754
방취변경	UNESCO	#N/A
연고방취	URL	#N/A
유학방취	USA	#N/A
자진방취	V표시용기	#N/A
추첨방취	WAN	#N/A
국적Nationality	WATT	#N/A
성별Sex	WBS	#N/A
합계Total	WHO	#N/A
0~4세Years	WTO	#N/A
5~9세	WWW	#N/A
10~14세	W표시용기	#N/A
15~19세	XML	#N/A
20~24세	X축	#N/A
25~29세	Y축	#N/A
30~34세	가	#N/A
35~39세	가감	#N/A
40~44세	가개통	#N/A
45~49세	가격	#N/A
50~54세	가격변동	#N/A
55~59세	가격시점	#N/A
60세 이상Years & over	가격표시제	#N/A
항구	가계	13397
항구	가계수표	13397
선박계	가공	#N/A
선원계	가공무역	#N/A
입항선박수	가공물	#N/A
입항선원수	가공식품	#N/A
출항선박수	가공업	#N/A
출항선원수	가공제품	#N/A
공항별	가공품	#N/A
공항별	가교	#N/A
항공기수	가구	#N/A
승무원수	가구	#N/A
입항항공기수	가구주	#N/A
입항승무원수	가금	#N/A
출항항공기수	가납	#N/A
출항승무원수	가능	#N/A
국적	가능성	2267
국적	가동	2267
합계	가동시간	13350
승무원상륙	가두판매	#N/A
긴급상륙	가득율	#N/A
재난상륙	가등기	#N/A
난민임시상륙	가로	#N/A
상륙허가자출국	가로수	#N/A
국적	가료	2267
국적	가루	2267
선박계	가망	#N/A
선원계	가망성	#N/A
입항선박수	가맹	#N/A
입항선원수	가맹계약서	#N/A
출항선박수	가맹금	#N/A
출항선원수	가맹본부	#N/A
국적	가맹사업	2267
국적	가맹점	2267
항공기수	가맹점사업자	#N/A
승무원수	가맹점운영권	#N/A
입항항공기수	가맹중개인	#N/A
입항승무원수	가맹지역본부	#N/A
출항항공기수	가맹희망자	#N/A
출항승무원수	가명	#N/A
국적	가뭄	2267
성별	가반식	6421
합계	가발	13350
인천공항	가방	#N/A
부산	가변	5237
인천	가변차로	9359
김해	가보존	#N/A
제주	가부	10723
대구	가분급부	3324
여수	가사	#N/A
창원	가사	#N/A
청주	가사노동	#N/A
김포공항	가사소송	#N/A
울산	가산	8590
감천	가산금	#N/A
평택	가산금리	#N/A
오산	가산금액	#N/A
포항	가산세	#N/A
서산	가산세금	#N/A
광양	가산수수료	#N/A
목포	가상	#N/A
통영	가석방	#N/A
사천	가설	#N/A
거제	가설인명	#N/A
군산	가설자	#N/A
동해	가설재	#N/A
속초	가소성	#N/A
