필드명	행정표준용어	매칭결과
"학교ID
"	1	#N/A
"학교명
"	10월	#N/A
"학교급구분
"	119안전신고센터	#N/A
"설립일자
"	11월	#N/A
"설립형태
"	12월	#N/A
"본교분교구분
"	13월	#N/A
"운영상태
"	14월	#N/A
"소재지지번주소
"	1월	#N/A
"소재지도로명주소
"	1종시설물	#N/A
"시도교육청코드
"	1차냉각재	#N/A
"시도교육청코드
"	1회용품	#N/A
"교육지원청코드
"	2	#N/A
"교육지원청명
"	20피트컨테이너단위	#N/A
"생성일자
"	21세기프론티어연구개발사업	#N/A
"변경일자
"	24시간전적하목록제출규정	#N/A
"위도
"	2월	#N/A
"경도
"	2종시설물	#N/A
"데이터기준일자
"	2차	#N/A
"학구ID
"	2차냉각재	#N/A
"학구명
"	2차전지	#N/A
"학구분류
"	2차통지처	#N/A
"시도코드
"	3	#N/A
"시군구코드
"	3월	#N/A
"시도교육청코드
"	4	#N/A
"시도교육청명
"	40피트컨테이너단위	#N/A
"교육지원청코드
"	4대강	#N/A
"교육지원청명
"	4대보험	#N/A
"생성일자
"	4대사회보험	#N/A
"변경일자
"	4월	#N/A
"공간객체ID
"	5	#N/A
"데이터기준일자
"	5월	#N/A
"학구ID
"	6	#N/A
"학구명
"	6시그마	#N/A
"학구분류
"	6월	#N/A
"시도코드
"	6자회담	#N/A
"시도교육청코드
"	7	#N/A
"시도교육청명
"	7월	#N/A
"교육지원청코드
"	8	#N/A
"교육지원청명
"	8월	#N/A
"생성일자
"	9	#N/A
"변경일자
"	9월	#N/A
"공간객체ID
"	A4	#N/A
"학구ID
"	A4지	#N/A
"학구명
"	AAIC	#N/A
"학구분류
"	ABR	#N/A
"시도코드
"	ABS	#N/A
"시도교육청코드
"	AC	#N/A
"시도교육청명
"	ADSL	#N/A
"교육지원청코드
"	APEC	#N/A
"교육지원청명
"	API	#N/A
"생성일자
"	ARS	#N/A
"변경일자
"	AS	#N/A
"공간객체ID
"	ASEAN	#N/A
"교육행정구역ID
"	ASP	#N/A
"교육행정구역명
"	ATA까르네	#N/A
"교육행정구역분류
"	ATA까르네발급단체	#N/A
"시도교육청코드
"	ATA까르네발급업체	#N/A
"시도교육청명
"	ATA까르네보증단체	#N/A
"교육지원청코드
"	ATC	#N/A
"교육지원청명
"	B2B	#N/A
