필드명,필드길이,필드띄어쓰기,필드특수문자,필드특수문자수
조회 시작일(년월일),11,1,Yes,2
조회 종료일(년월일),11,1,Yes,2
부류(대품목)명,8,0,Yes,2
품목(중품목)명,8,0,Yes,2
품종(소품목)명,8,0,Yes,2
최고가,3,0,No,0
품목,2,0,No,0
최저가,3,0,No,0
품종,2,0,No,0
품종코드,4,0,No,0
규격코드,4,0,No,0
규격,2,0,No,0
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
평균가,3,0,No,0
기준일,3,0,No,0
5일이동평균,6,0,No,0
등급코드,4,0,No,0
등급,2,0,No,0
전년동일평균가,7,0,No,0
부류,2,0,No,0
조회 시작일(년월일),11,1,Yes,2
조회 종료일(년월일),11,1,Yes,2
부류(대품목)명,8,0,Yes,2
품목(중품목)명,8,0,Yes,2
품종(소품목)명,8,0,Yes,2
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
평균가,3,0,No,0
날짜,2,0,No,0
5일이동평균,6,0,No,0
등급코드,4,0,No,0
등급,2,0,No,0
전년동일평균가,7,0,No,0
부류,2,0,No,0
최고가,3,0,No,0
품목,2,0,No,0
최저가,3,0,No,0
품종,2,0,No,0
품종코드,4,0,No,0
규격코드,4,0,No,0
규격,2,0,No,0
조회 시작일(년월일),11,1,Yes,2
조회 종료일(년월일),11,1,Yes,2
부류(대품목)명,8,0,Yes,2
품목(중품목)명,8,0,Yes,2
품종(소품목)명,8,0,Yes,2
도매시장코드,6,0,No,0
도매시장명,5,0,No,0
품목,2,0,No,0
가격,2,0,No,0
품종,2,0,No,0
규격코드,4,0,No,0
규격,2,0,No,0
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
품종코드,4,0,No,0
날짜,2,0,No,0
등급코드,4,0,No,0
등급,2,0,No,0
유통단계,4,0,No,0
유통단계코드,6,0,No,0
부류,2,0,No,0
조회 시작일(년월일),11,1,Yes,2
조회 종료일(년월일),11,1,Yes,2
"부류 코드
(부류표준품목코드조회 참고)",20,2,Yes,2
"품목 코드
(품목표준코드조회 참고)",18,2,Yes,2
"품종 코드
(품종표준코드조회 참고)",18,2,Yes,2
"도매시장코드
(표준도매시장코드조회 참고)",21,1,Yes,2
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
조회날짜,4,0,No,0
등급코드,4,0,No,0
등급,2,0,No,0
유통단계,4,0,No,0
유통단계코드,6,0,No,0
부류,2,0,No,0
도매시장명의 지역,9,1,No,0
품목코드,4,0,No,0
품목,2,0,No,0
도매시장코드,6,0,No,0
가격,2,0,No,0
품종코드,4,0,No,0
품종,2,0,No,0
규격코드,4,0,No,0
규격,2,0,No,0
조회 시작일(년월일),11,1,Yes,2
조회 종료일(년월일),11,1,Yes,2
"부류 코드
(부류표준품목코드조회 참고)",20,2,Yes,2
"품목 코드
(품목표준코드조회 참고)",18,2,Yes,2
"품종 코드
(품종표준코드조회 참고)",18,2,Yes,2
"1=농산물산지
3=축산물산지
4=수산물산지
5=도매공판
6=중도매
7=소비자",37,0,Yes,6
유통단계코드,6,0,No,0
부류명,3,0,No,0
품목명,3,0,No,0
가격,2,0,No,0
품종코드,4,0,No,0
품종명,3,0,No,0
규격코드,4,0,No,0
규격,2,0,No,0
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
기준일,3,0,No,0
등급코드,4,0,No,0
등급,2,0,No,0
유통단계,4,0,No,0
조회 시작일(년월일),11,1,Yes,2
조회 종료일(년월일),11,1,Yes,2
55=임산물   57=톱밥,14,3,Yes,2
1=생산지    2=소비지,14,4,Yes,2
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
지역코드,4,0,No,0
지역,2,0,No,0
기준일,3,0,No,0
등급코드,4,0,No,0
등급,2,0,No,0
조사코드,4,0,No,0
가격,2,0,No,0
임산물유통센터자체코드,11,0,No,0
품목명,3,0,No,0
조회 시작일(년월일),11,1,Yes,2
조회 종료일(년월일),11,1,Yes,2
55=임산물    57=톱밥,15,4,Yes,2
1=생산지    2=소비지,14,4,Yes,2
지역명,3,0,No,0
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
지역,2,0,No,0
기준일,3,0,No,0
등급,2,0,No,0
가격,2,0,No,0
임산물유통센터자체코드,11,0,No,0
품목명,3,0,No,0
(NULL),6,0,Yes,2
출발지의 운행지역 ID,12,2,No,0
도착지의 운행지역 ID,12,2,No,0
(NULL),6,0,Yes,2
운행노선목록,6,0,No,0
노선아이디,5,0,No,0
노선번호,4,0,No,0
노선유형 코드,7,1,No,0
노선유형 명,6,1,No,0
노선의 운행지역,8,1,No,0
"노선의 관할지역 (서울,경기,인천)",21,2,Yes,6
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
"시도/시군구 구분 (A:시도, B:시군구)",25,3,Yes,8
시도,2,0,No,0
시군구,3,0,No,0
결과코드,4,0,No,0
결과메시지,5,0,No,0
한페이지 결과 수,9,2,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
시도코드,4,0,No,0
시도명,3,0,No,0
시군구코드,5,0,No,0
시군구명,4,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
기관구분코드,6,0,No,0
기관명,3,0,No,0
결과코드,4,0,No,0
