필드명,필드길이,필드띄어쓰기,필드특수문자,필드특수문자수
사업년도,4,0,No,0
인증종류,4,0,No,0
신청농가수,5,0,No,0
신청면적,4,0,No,0
신청금액,4,0,No,0
지급농가수,5,0,No,0
지급면적,4,0,No,0
지급금액,4,0,No,0
사업년도,4,0,No,0
선정년도,4,0,No,0
시도,2,0,No,0
시군,2,0,No,0
읍면동,3,0,No,0
비종,2,0,No,0
신청면적(㎡),7,0,Yes,3
양(kg),5,0,Yes,2
신청(포),5,0,Yes,2
선정(포),5,0,Yes,2
사업년도,4,0,No,0
선정년도,4,0,No,0
시도,2,0,No,0
시군,2,0,No,0
읍면동,3,0,No,0
비종,2,0,No,0
신청면적(㎡),7,0,Yes,3
양(kg),5,0,Yes,2
신청(포),5,0,Yes,2
선정(포),5,0,Yes,2
사업년도,4,0,No,0
선정년도,4,0,No,0
시도,2,0,No,0
시군,2,0,No,0
읍면동,3,0,No,0
비종,2,0,No,0
신청면적(㎡),7,0,Yes,3
양(kg),5,0,Yes,2
신청(포),5,0,Yes,2
선정(포),5,0,Yes,2
NO,2,0,No,0
창업자명,4,0,No,0
기업명,3,0,No,0
창업 내용,5,1,No,0
지역,2,0,No,0
기술분야,4,0,No,0
유형,2,0,No,0
데이터ID,5,0,No,0
낙찰번호,4,0,No,0
낙찰 공고명,6,1,No,0
공고일,3,0,No,0
낙찰일,3,0,No,0
UNSPSC분류,8,0,No,0
국가,2,0,No,0
지역,2,0,No,0
원문 URL,6,1,No,0
데이터ID,5,0,No,0
입찰번호,4,0,No,0
입찰공고명,5,0,No,0
마감일,3,0,No,0
공고일,3,0,No,0
기관명,3,0,No,0
국가,2,0,No,0
UNSPSC분류,8,0,No,0
공고원문URL,7,0,No,0
연번,2,0,No,0
비고,2,0,No,0
과정명,3,0,No,0
2015년 운영예정,10,1,No,0
세   부   연   수   일   정,21,15,No,0
연번,2,0,No,0
비고,2,0,No,0
과정명,3,0,No,0
2015년 운영예정,10,1,No,0
세   부   연   수   일   정,21,15,No,0
연번,2,0,No,0
비고,2,0,No,0
대분류,3,0,No,0
중분류,3,0,No,0
소분류,3,0,No,0
과정명,3,0,No,0
기간,2,0,No,0
회수,2,0,No,0
정원,2,0,No,0
총인원,3,0,No,0
1월,2,0,No,0
2월,2,0,No,0
3월,2,0,No,0
4월,2,0,No,0
5월,2,0,No,0
6월,2,0,No,0
7월,2,0,No,0
8월,2,0,No,0
9월,2,0,No,0
10월,3,0,No,0
11월,3,0,No,0
12월,3,0,No,0
연번,2,0,No,0
비고,2,0,No,0
과정명,3,0,No,0
2015년 운영예정,10,1,No,0
세   부   연   수   일   정,21,15,No,0
연번,2,0,No,0
관할고용센터,6,0,No,0
운영기관명,5,0,No,0
소 재 지(도로명 주소),13,3,Yes,2
대표전화,4,0,No,0
Fax 번호,6,1,No,0
비고,2,0,No,0
건수,2,0,No,0
합계,2,0,No,0
금액,2,0,No,0
국가,2,0,No,0
목록통관,4,0,No,0
EDI 수입,6,1,No,0
총합,2,0,No,0
구분,2,0,No,0
지정번호,4,0,No,0
성 명,3,1,No,0
보유기능,4,0,No,0
지정일,3,0,No,0
지역,2,0,No,0
비 고,3,1,No,0
국적,2,0,No,0
국적,2,0,No,0
합계,2,0,No,0
승무원상륙,5,0,No,0
긴급상륙,4,0,No,0
재난상륙,4,0,No,0
난민임시상륙,6,0,No,0
상륙허가자출국,7,0,No,0
국적,2,0,No,0
국적,2,0,No,0
항공기수,4,0,No,0
승무원수,4,0,No,0
입항항공기수,6,0,No,0
입항승무원수,6,0,No,0
출항항공기수,6,0,No,0
출항승무원수,6,0,No,0
"국적
Nationality",13,0,No,0
성별,2,0,No,0
합계,2,0,No,0
단기상용,4,0,No,0
단기종합,4,0,No,0
단기취업,4,0,No,0
문화예술,4,0,No,0
유학,2,0,No,0
해외투자,4,0,No,0
중기협,3,0,No,0
수산협,3,0,No,0
건설협,3,0,No,0
농협,2,0,No,0
일반연수,4,0,No,0
취재,2,0,No,0
종교,2,0,No,0
상사주재,4,0,No,0
기업투자,4,0,No,0
무역경영,4,0,No,0
선원취업,4,0,No,0
교수,2,0,No,0
회화지도,4,0,No,0
연구,2,0,No,0
기술지도,4,0,No,0
전문직업,4,0,No,0
예술흥행,4,0,No,0
특정직업,4,0,No,0
비전문취업,5,0,No,0
방문동거,4,0,No,0
거주,2,0,No,0
국배우자,4,0,No,0
난민,2,0,No,0
영배우자,4,0,No,0
동반,2,0,No,0
재외동포,4,0,No,0
기타,2,0,No,0
방취변경,4,0,No,0
연고방취,4,0,No,0
유학방취,4,0,No,0
자진방취,4,0,No,0
추첨방취,4,0,No,0
"                        
국적
Nationality",13,0,No,0
"성별
Sex",5,0,No,0
"합계
Total",7,0,No,0
"0~4세
Years",9,0,Yes,1
5~9세,4,0,Yes,1
10~14세,6,0,Yes,1
15~19세,6,0,Yes,1
20~24세,6,0,Yes,1
25~29세,6,0,Yes,1
30~34세,6,0,Yes,1
35~39세,6,0,Yes,1
40~44세,6,0,Yes,1
45~49세,6,0,Yes,1
50~54세,6,0,Yes,1
55~59세,6,0,Yes,1
"60세 이상
Years & over",18,3,Yes,1
항구,2,0,No,0
